player,nationality,position,team,birth_year,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,xg,npxg,xg_assist,npxg_xg_assist,progressive_carries,progressive_passes,progressive_passes_received,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90,team_county
Patrick van Aanholt,NED,"MF,DF", PSV Eindhoven,1990,2,1,99,1.1,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,0,3,2,0.00,0.00,0.00,0.00,0.00,0.15,0.03,0.18,0.15,0.18,nl
Brenden Aaronson,USA,MF, Union Berlin,2000,6,1,137,1.5,0,0,0,0,0,0,0,0,0.5,0.5,0.0,0.5,0,2,4,0.00,0.00,0.00,0.00,0.00,0.31,0.00,0.31,0.31,0.31,de
Salis Abdul Samed,GHA,MF, Lens,2000,6,6,495,5.5,0,0,0,0,0,0,2,0,0.2,0.2,0.3,0.4,4,13,4,0.00,0.00,0.00,0.00,0.00,0.04,0.05,0.08,0.04,0.08,fr
Francesco Acerbi,ITA,DF, Inter,1988,6,4,423,4.7,0,1,1,0,0,0,1,0,0.2,0.2,0.3,0.5,5,22,5,0.00,0.21,0.21,0.00,0.21,0.05,0.06,0.12,0.05,0.12,it
Elias Achouri,TUN,"FW,MF", FC Copenhagen,1999,8,7,552,6.1,0,1,1,0,0,0,0,0,0.3,0.3,0.9,1.2,17,16,38,0.00,0.16,0.16,0.00,0.16,0.05,0.14,0.19,0.05,0.19,dk
Marcos Acuña,ARG,DF, Sevilla,1991,3,2,198,2.2,0,1,1,0,0,0,0,0,0.1,0.1,0.5,0.6,2,5,5,0.00,0.45,0.45,0.00,0.45,0.07,0.21,0.27,0.07,0.27,es
Karim Adeyemi,GER,FW, Dortmund,2002,7,3,362,4.0,2,1,3,2,0,0,0,0,1.1,1.1,1.0,2.1,11,8,23,0.50,0.25,0.75,0.50,0.75,0.29,0.24,0.53,0.29,0.53,de
Yacine Adli,FRA,MF, Milan,2000,3,1,123,1.4,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.3,4,11,1,0.00,0.00,0.00,0.00,0.00,0.10,0.08,0.18,0.10,0.18,it
Ruben Aguilar,FRA,DF, Lens,1993,2,1,100,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,fr
Manuel Akanji,SUI,"DF,MF",g Manchester City,1995,6,5,464,5.2,2,0,2,2,0,0,1,0,0.8,0.8,0.1,1.0,7,29,4,0.39,0.00,0.39,0.39,0.39,0.16,0.03,0.19,0.16,0.19,en
Nathan Aké,NED,"DF,MF",g Manchester City,1995,7,3,384,4.3,0,0,0,0,0,0,0,0,0.9,0.9,0.4,1.3,10,32,6,0.00,0.00,0.00,0.00,0.00,0.22,0.08,0.30,0.22,0.30,en
Kerem Aktürkoğlu,TUR,"MF,FW", Galatasaray,1998,6,5,440,4.9,2,0,2,2,0,0,0,0,2.1,2.1,0.9,3.0,11,13,33,0.41,0.00,0.41,0.41,0.41,0.43,0.19,0.62,0.43,0.62,tr
David Alaba,AUT,DF, Real Madrid,1992,3,3,250,2.8,0,1,1,0,0,0,1,0,0.4,0.4,0.4,0.8,2,6,9,0.00,0.36,0.36,0.00,0.36,0.14,0.13,0.27,0.14,0.27,es
Luis Alberto,ESP,MF, Lazio,1992,8,8,642,7.1,0,1,1,0,0,0,1,0,0.9,0.9,2.2,3.1,18,71,32,0.00,0.14,0.14,0.00,0.14,0.12,0.31,0.44,0.12,0.44,it
Toby Alderweireld,BEL,DF, Antwerp,1989,5,5,450,5.0,0,0,0,0,0,1,2,0,1.5,0.8,0.1,0.9,2,18,2,0.00,0.00,0.00,0.00,0.00,0.30,0.02,0.33,0.15,0.18,be
Mohamed Ali Cho,FRA,"FW,MF", Real Sociedad,2004,4,1,131,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,8,2,11,0.00,0.00,0.00,0.00,0.00,0.02,0.03,0.05,0.02,0.05,es
Miguel Almirón,PAR,FW,g Newcastle Utd,1994,6,4,413,4.6,1,1,2,1,0,0,1,0,1.4,1.4,0.6,2.0,18,23,30,0.22,0.22,0.44,0.22,0.44,0.30,0.13,0.43,0.30,0.43,en
Marcos Alonso,ESP,"DF,FW", Barcelona,1990,3,2,139,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,1,9,14,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.04,0.02,0.04,es
Barış Alper Yılmaz,TUR,"FW,MF", Galatasaray,2000,6,0,127,1.4,0,1,1,0,0,0,0,0,0.1,0.1,0.5,0.6,4,1,14,0.00,0.71,0.71,0.00,0.71,0.05,0.37,0.42,0.05,0.42,tr
Julián Álvarez,ARG,"MF,FW",g Manchester City,2000,5,2,248,2.8,5,2,7,5,0,0,0,0,1.7,1.7,1.3,3.0,15,18,23,1.81,0.73,2.54,1.81,2.54,0.61,0.49,1.09,0.61,1.09,en
Mohamed Aly Camara,GUI,DF, Young Boys,1997,5,5,450,5.0,0,1,1,0,0,0,2,0,0.0,0.0,0.0,0.0,3,13,0,0.00,0.20,0.20,0.00,0.20,0.00,0.01,0.01,0.00,0.01,ch
Aurele Amenda,SUI,DF, Young Boys,2003,4,3,314,3.5,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,0,6,0,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03,ch
Sofyan Amrabat,MAR,"MF,DF",g Manchester Utd,1996,5,4,325,3.6,0,0,0,0,0,0,2,0,0.1,0.1,0.1,0.2,3,12,5,0.00,0.00,0.00,0.00,0.00,0.02,0.04,0.05,0.02,0.05,en
Elliot Anderson, SCO,MF,g Newcastle Utd,2002,2,0,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,2,1,2,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.15,0.00,0.15,en
Felipe Anderson,BRA,FW, Lazio,1993,8,7,542,6.0,0,1,1,0,0,0,0,0,0.6,0.6,1.3,1.9,15,26,54,0.00,0.17,0.17,0.00,0.17,0.11,0.21,0.32,0.11,0.32,it
Angeliño,ESP,DF, Galatasaray,1997,6,5,424,4.7,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,6,26,18,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03,tr
Peter Ankersen,DEN,DF, FC Copenhagen,1990,7,5,465,5.2,0,0,0,0,0,0,0,0,0.2,0.2,0.3,0.5,8,11,16,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.10,0.05,0.10,dk
Antony,BRA,FW,g Manchester Utd,2000,4,3,232,2.6,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,5,14,16,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.04,0.02,0.04,en
Jon Aramburu,VEN,DF, Real Sociedad,2002,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,es
